title,date,summary,url,cta,body
Quickly Access the Critical Information You Need to Accelerate Criminal Investigations,04/18/2019,"Those in law enforcement know that ensuring data accuracy and working quickly to solve investigations in a timely manner is critical. It can be frustrating when delays in seemingly simple tasks, like accessing phone records, hold up the process due to missing or inaccurate information.",,,"<p></p><p>April 18, 2019: Those in law enforcement know that ensuring data
accuracy and working quickly to solve investigations in a timely manner is
critical. It can be frustrating when delays in seemingly simple tasks, like
accessing phone records, hold up the process due to missing or inaccurate
information. </p>

<p>Investigators need to request phone records from a service
provider, wait to receive it and then determine if the record aligns with the
investigation, all of which takes time and resources to track. Often it is not
until the records are back that an investigator discovers they sent it to the
incorrect service provider and/or it does not cover the entire historical period
they are looking into. </p>

<p>The nation’s Number Portability Administration Center
(NPAC), managed by iconectiv, expedites this by allowing qualified law
enforcement agencies to determine which U.S. communications service provider
owns the phone number that is of interest in a criminal investigation or
law-related matter. Given that iconectiv is the only FCC authorized company in
the United States to administer number portability, every service provider in
the country that ports numbers is mandated to register in the system and law
enforcement and public safety agencies can quickly gain the accurate information
they need with the click of a button. </p>

<p>The quickest and only way to access historical phone data is
through the Enhanced Law Enforcement Platform (ELEP). A secure,
subscription-based service, ELEP allows users to query up to 100 numbers at a
time, provides full porting history, as well as lists the current service
provider of record.&nbsp; </p>

<p>More information about NPAC for law enforcement can be found
<a href=""https://lawenforcement.numberportability.com/"">here</a>.</p>"
Are You Ready? The iconectiv U.S. NPAC Transition Checklist,05/10/2018,"On May 20, 2018, the Southwest, Western and West Coast Number Portability Administration Center (NPAC) Regions will transition to iconectiv, marking the last regional cutover. ",,,"<p><b><br></b></p><p><b>Bridgewater, N.J. – May 10, 2018</b> - On May 20, 2018, the Southwest, Western and West Coast Number Portability Administration Center (NPAC) Regions will transition to iconectiv, marking the last regional cutover. This follows iconectiv’s successful transition of the Northeast, Mid-Atlantic, and Midwest NPAC Regions on May 6, 2018.&nbsp; All Service Providers, Service Bureaus and Providers of Telecom-Related Services (PTRS) must register with iconectiv, log in to the iconectiv NPAC Customer Portal and verify connectivity to be ready for the transition.&nbsp; &nbsp;</p><p><br></p><p>If you have any questions regarding your registration status, login credentials or user type, please call the iconectiv Help Desk at your earliest convenience at 844-820-8039 or email npac@iconectiv.numberportability.com. The phone line is open 24 hours a day, seven days a week.&nbsp;</p><p><br></p><p><b>Step One: Registration</b></p><p>All users of the U.S. NPAC are required to register with iconectiv to maintain access to NPAC data and services. The registration process, along with instructions on how to get started, can be found at <a href=""https://www.numberportability.com/"">www.numberportability.com</a>. Once the registration process is complete, registered users should receive their login credentials for the iconectiv NPAC Customer Portal via the email address provided during registration.</p><p><br></p><p><b>Step Two: Customer Portal Login <br></b></p><p>All registered users are encouraged to <a href=""https://portal.numberportability.com/login"">visit the iconectiv NPAC Customer Portal</a>. Users must log in with their iconectiv user credentials provided after registration. Once inside the portal, users can set up their user profile, add additional users, order connectivity as needed and become familiar with the iconectiv service. The portal also offers access to the Knowledge Base for Methods and Procedures on NPAC-related activities and services, Forms, and NPAC-related training.</p><p><br></p><p><b>Step Three: Verify Connectivity</b></p><p>Registered users must set up and verify connectivity based on their user type. <br></p><p></p><ul><li>Users that access the NPAC via the Low-Tech Interface (LTI) portal must have a VPN connection to the NPAC, as well as LTI Portal credentials.</li><li>Users that access the NPAC via a third party or Service Bureau do not need to take any action. The Service Bureau will handle connectivity</li><li>All users with a Mechanized Interface have already verified connectivity.</li></ul><p></p><p><br></p><p>&nbsp;</p><p><br></p>"
“Moments Matter” in Blocking Identity Fraud: Why Number Porting Data is a Vital Tool in Stopping Account Takeovers,10/25/2019,"In the U.S. market, the LNP program is administered through a national database called the NPAC (National Portability Administration Center) which contains the routing information for over 800 million ported and pooled numbers.",,,"<p>In the U.S. market, the LNP program is administered through a national database called the NPAC (National Portability Administration Center) which contains the routing information for over 800 million ported and pooled numbers.</p><p>Since the late 90s, the NPAC was run by Neustar, under a contract managed by a consortium of Telecommunications Services Providers and overseen by the FCC.&nbsp; Then, in 2018, administration of the NPAC shifted to iconectiv, the former Telcordia Technologies, a subsidiary of Ericsson.</p><p>Read more&nbsp;<a href=""http://bswan.org/moments_matter.asp"">here.</a></p>"
Businesses Now Authorized to Leverage Number Porting Information for Fraud Mitigation and Risk Assessment,08/21/2019,"Mobile phone numbers now rival social security and driver license numbers as the personal identifier that consumers use to register for products and services. That ubiquity makes mobile numbers an attractive and powerful tool for identity thieves, who stole $14.7 billion in 2018 from 14.4 million U.S. consumers.",,,"<p>&nbsp;BRIDGEWATER, N.J. – August 21, 2019 – Mobile phone numbers now rival social security and driver license numbers as the personal identifier that consumers use to register for products and services. That ubiquity makes mobile numbers an attractive and powerful tool for identity thieves, who stole <a href=""https://www.javelinstrategy.com/coverage-area/2019-identity-fraud-report-fraudsters-seek-new-targets-and-victims-bear-brunt"">$14.7 billion in 2018 from 14.4 million U.S. consumers</a>.</p><p>Now, with the introduction of PortData Validate from <a href=""http://www.iconectiv.com"">iconectiv</a>, financial institutions, healthcare providers and other authorized businesses can leverage telephone number porting data as part of their assessment when verifying a customer’s identity, approving a transaction or disclosing information. The data, exclusively available from iconectiv or an authorized reseller of iconectiv’s PortData Validate service, is the nation’s only authorized service for businesses who need access to accurate and up-to-date phone number porting information for fraud mitigation and risk assessment.</p><p>“Recognizing the key role that number porting data plays in helping businesses verify the authenticity of telephone number-based transactions, this data can now be used for fraud mitigation and risk assessment purposes,” said <a href=""https://iconectiv.com/company/leadership-team"">Kathy Timko, Head of the Local Number Portability Administration (LNPA) Services at iconectiv</a>. “This new access to porting data will further help protect customers and businesses against fraud.”&nbsp;</p><p>PortData Validate will provide information that businesses can use to assess risk before confirming a transaction by identifying the current service provider associated with a telephone number and recent porting activity. Additionally, contact centers can leverage PortData Validate to mitigate the risk of identity theft and other fraudulent activity and, if needed, take additional steps to validate a caller’s identity.</p><p>PortData Validate is available in three subscription types: Direct, Reseller and Indirect. All three include access to the data via the Notify service, which provides number porting changes at subscriber-determined intervals. The optional Query service enables Direct and Indirect subscribers to access the most recent number porting information via an online query.&nbsp;</p><p>As the world leader in numbering, iconectiv has successfully deployed solutions around the globe and has been a long-standing part of the U.S. telecommunications landscape, including the number portability ecosystem since its inception.&nbsp;&nbsp;As the Local Number Portability Administrator (LNPA) for the United States, iconectiv manages the nation’s Number Portability Administration Center (NPAC). The largest database of ported telephone numbers in the world, the U.S. NPAC includes more than 650 million telephone numbers for 1,600 service providers and providers of telecom-related services.</p><p>






</p><p>For more information visit <a href=""https://portdata.numberportability.com"">https://portdata.numberportability.com</a>.</p>"
Bolster Investigation Efficacy with Enhanced Law Enforcement Platform (ELEP),05/10/2019,"When it comes to investigations, timeliness matters. The Enhanced Law Enforcement Platform (ELEP) allows you to securely look up telephone numbers and view porting history dating back to 2004 to identify the service provider of record for phone numbers. Sourced from the Number Portability Administration Center (NPAC), the data can be accessed via a web-based interface or application programming interface (API). ELEP supports telephone number searches by range and specific number.",,,"
<p><b>May 10, 2019:</b> When it comes to investigations, timeliness matters. The Enhanced Law Enforcement Platform (ELEP) allows you to securely look up telephone numbers and view porting history dating back to 2004 to identify the service provider of record for phone numbers. Sourced from the Number Portability Administration Center (NPAC), the data can be accessed via a web-based interface or application programming interface (API). ELEP supports telephone number searches by range and specific number.&nbsp;<a href=""https://lawenforcement.numberportability.com/services/elep/"">Learn more</a>.</p>"
Numbering Data at Your Fingertips,12/13/2018,"Criminal investigations can hinge on tracking down telephone information and criminals know it. They will often take advantage of number portability to evade detection, swapping telephones and numbers from one service provider to another. Fortunately, the nation's Number Portability Administration Center (NPAC), managed by iconectiv, is a central, common and authoritative database that law enforcement and public safety agencies rely on to retrieve critical numbering information.",,,"<p>Criminal investigations can hinge on tracking down telephone information and criminals know it. They will often take advantage of number portability to evade detection, swapping telephones and numbers from one service provider to another. Fortunately, the nation's Number Portability Administration Center (NPAC), managed by iconectiv, is a central, common and authoritative database that law enforcement and public safety agencies rely on to retrieve critical numbering information.&nbsp;<a href=""https://lawenforcement.numberportability.com/"">Learn more.</a></p>"
Investigations Get Easier with Phone Number Data Available at the Fingertips of Law Enforcement,02/19/2019,"Law enforcement agencies are under pressure to solve investigations quickly, with limited resources. Seemingly simple tasks—like accessing phone records—requires agents and officers to know the service provider of the phone number being investigated before they can subpoena the records, sacrificing valuable time in the process.",,,"<p><b>BRIDGEWATER, NJ –&nbsp;February 19, 2019</b>: Law enforcement agencies are under pressure to solve investigations quickly, with limited resources. Seemingly simple tasks—like accessing phone records—requires agents and officers to know the service provider of the phone number being investigated before they can subpoena the records, sacrificing valuable time in the process.</p><p>The nation’s Number Portability Administration Center (NPAC), managed by iconectiv, eliminates this hurdle by allowing authorized law enforcement agencies to determine which U.S. communications service provider owns the phone number that is of interest in a criminal investigation or law-related matter. With the click of a button, or a single phone call, law enforcement agencies can identify the service provider of record for a specific number. &nbsp;Available to all qualified and registered law enforcement agencies, users simply need to&nbsp;<a href=""https://lawenforcement.numberportability.com/"">register</a>&nbsp;for the service and renew on an annual basis.</p><p>Two levels of service are available. The quickest and most efficient way to access phone data is through the Enhanced Law Enforcement Platform (ELEP). A secure, subscription-based service, ELEP allows users to query up to 100 numbers at a time, provides full porting history, as well as, lists the service provider of record. The Interactive Voice Response (IVR) is a secure, phone-based service. Using the IVR, users can query up to 20 look-ups at a time. For each number, the system provides the name of the service provider of record.</p><p>More information about NPAC for law enforcement can be found&nbsp;<a href=""https://lawenforcement.numberportability.com/"">here</a>. <br></p>"
iconectiv Announces Cutover of Three Regional NPAC Systems,05/07/2018,"Second Successful Regional Transition to iconectiv NPAC Includes Northeast, Mid-Atlantic and Midwest NPAC Regions",,,"<p><a href=""https://numberportability.com/resources/contact-iconectiv/"">Contact</a>&nbsp; &nbsp;<a href=""https://numberportability.com/about-us/about-npac/"">About</a>&nbsp; &nbsp;<a href=""https://numberportability.com/legal/"">Legal</a>&nbsp;&nbsp;</p><p>© 2022 iconectiv, all rights reserved<br></p>"
"The Federal Communications Commission announced the successful completion of the transition to the new Local Number Portability Administrator (LNPA), Telcordia Technologies, doing business as iconectiv",05/29/2018,"The LNPA operates the system that allows consumers to keep their telephone numbers when they switch communications service providers, thereby promoting consumer choice and competition among those companies.",,,"<p></p><p><b>WASHINGTON, May 29, 2018—</b>The Federal Communications Commission announced the successful completion of the transition to the new Local Number Portability Administrator (LNPA), Telcordia Technologies, doing business as iconectiv.&nbsp; The LNPA operates the system that allows consumers to keep their telephone numbers when they switch communications service providers, thereby promoting consumer choice and competition among those companies.&nbsp; It also provides critical services to our nation’s law enforcement and public safety communities.</p><p><br></p><p><a href=""https://www.fcc.gov/document/fcc-welcomes-successful-transition-new-number-porting-administrator"">Read more</a></p><p></p>"
"What Service Providers, Service Bureaus and Providers of Telecom-Related Services Need to Know About the iconectiv NPAC Customer Portal ",05/14/2018,"All registered users of the iconectiv Number Portability Administration Center (NPAC) are encouraged to log in to the iconectiv NPAC Customer Portal before the final NPAC regional transition on May 20, 2018. ",,,"<br>Bridgewater, N.J. – May 14, 2018 -- All registered users of the iconectiv Number Portability Administration Center (NPAC) are encouraged to log in to the iconectiv <a href=""https://portal.numberportability.com/login"">NPAC Customer Portal</a> before the final NPAC regional transition on May 20, 2018. <br><br>Representatives from each registered company should have received login credentials for the NPAC Customer Portal via the email address provided during registration. Users can only access the customer portal with their iconectiv login credentials. <br><br>Through the NPAC Customer Portal, users can: <br><br><ul><li>Confirm, add or request changes to their company contacts </li><li>Verify and order connectivity as needed, including Virtual Private Network (VPN) set up and Low-Tech Interface (LTI) Portal credentials for LTI users</li><li>Order an Interactive Voice Response (IVR) PIN</li><li>Enter a request for support or report an issue</li><li>Access the Knowledge Base for M&amp;P’s, Forms, FAQs, and transition information</li><li>Access NPAC training services</li></ul><br>If you are a registered user and have not yet received your login credentials or need assistance, please call the iconectiv Help Desk at 844-820-8039 or email <a href=""mailto:npac@iconectiv.numberportability.com"">npac@iconectiv.numberportability.com</a>. The phone line is open 24 hours a day, seven days a week. <br><p><br></p>"
NPAC Transition Proceeds with Launch of Learning Management System,07/13/2017,"iconectiv, the next Local Number Portability Administrator (LNPA) for all U.S. regions, is continuing the transition to the new Number Portability Administration Center (NPAC) with the release of a suite of new training courses and the launch of its NPAC Learning Management System.",,,"<p><b>PISCATAWAY, N.J. – July 13, 2017 –</b> iconectiv, the
next Local Number Portability Administrator (LNPA) for all U.S. regions, is
continuing the transition to the new Number Portability Administration Center
(NPAC) with the release of a suite of new training courses and the launch of
its <a href=""https://learning.numberportability.com/site_login.php"">NPAC Learning
Management System</a>.</p>

<p>The system currently has four
online training courses. The first three courses are designed for users to:
tour the iconectiv LTI GUI, navigate the help desk system, and understand the
NPAC industry at large. A fourth course focusing in more detail on the use of
the LTI GUI is also available.</p>

<p>LTI GUI training is required for users that want to
participate in LTI GUI testing. All online training courses are offered at no
cost. Users must be registered with the iconectiv NPAC to participate in
training. Users that have not yet registered are encouraged to do so as soon as
possible.</p>

<p>Additional details on the transition can be found at <a href=""https://www.numberportability.com/"">www.numberportability.com</a>. Users
with questions can reach the help desk on weekdays from 8:00am to 8:00pm ET at
844-820-8039 or via email at <a href=""mailto:npac@iconectiv.numberportability.com"">npac@iconectiv.numberportability.com</a>.</p>

<p><b>About iconectiv</b></p>

<p>As the authoritative partner
of the communications industry for more than 30 years, iconectiv’s
market-leading solutions enable the interconnection of networks, devices, and
applications for more than two billion people every day. Working closely with
private, government and non-governmental organizations, iconectiv continues to
protect and secure telecommunication infrastructures for service providers,
governments and enterprises, while providing network and operations management,
numbering, registry, messaging and fraud and identity solutions to more than
1,200 organizations globally.</p>

<p>A US-based company, Telcordia
Technologies, doing business as iconectiv, is a wholly owned subsidiary of
Ericsson. For more information, visit <a href=""http://www.iconectiv.com/"">www.iconectiv.com</a>.</p>

<p><b>Media Contact<br></b>Sharon Oddy<br>732-699-5130 / 908-809-2268<br><a href=""mailto:soddy@iconectiv.com"">soddy@iconectiv.com</a></p>"
