title,date,summary,url,cta,body
Quickly Access the Critical Information You Need to Accelerate Criminal Investigations,04/18/2019,"Those in law enforcement know that ensuring data accuracy and working quickly to solve investigations in a timely manner is critical. It can be frustrating when delays in seemingly simple tasks, like accessing phone records, hold up the process due to missing or inaccurate information.",https://numberportability.com/news/quickly-access-critical-information-you-need-accelerate-criminal-investigations/,Read Full Article,
Investigations Get Easier with Phone Number Data Available at the Fingertips of Law Enforcement,02/19/2019,"Law enforcement agencies are under pressure to solve investigations quickly, with limited resources. Seemingly simple tasks—like accessing phone records—requires agents and officers to know the service provider of the phone number being investigated before they can subpoena the records, sacrificing valuable time in the process.",https://numberportability.com/news/investigations-get-easier-phone-number-data-available-fingertips-law-enforcement/,Read Full Article,
Enhanced Law Enforcement Platform (ELEP),01/18/2019,"The Enhanced Law Enforcement Platform (ELEP) is a subscription-based online service that allows you to gather information on up to 100 telephone numbers per query and provides additional features.   Features include, web-based interface or API integration, telephone number searches by range and specific number, as well as, historical porting information",https://numberportability.com/news/enhanced-law-enforcement-platform-elep/,Read Full Article,
Numbering Data at Your Fingertips,12/13/2018,"Criminal investigations can hinge on tracking down telephone information and criminals know it. They will often take advantage of number portability to evade detection, swapping telephones and numbers from one service provider to another. Fortunately, the nation's Number Portability Administration Center (NPAC), managed by iconectiv, is a central, common and authoritative database that law enforcement and public safety agencies rely on to retrieve critical numbering information.",https://numberportability.com/news/numbering-data-your-fingertips/,Read Full Article,
Imagine: ‘Sweating the details’ was necessary to lead largest IT project in telecom industry,12/03/2018,"If you’ve ever spent hours trying to troubleshoot a technical issue with your local cable or phone company, you might appreciate the complexity involved in building a system that would serve 1,600 phone companies throughout the U.S. to make it possible for consumers to keep their phone number — even when changing carriers.

Faced with what some consider the largest IT project ever undertaken within the U.S. telecom industry, Kathy Timko, executive vice president of local number portability administration (LNPA) services at the Bridgewater-based iconectiv, was undaunted by the complexity of building a new nationwide system that would manage the portability of 650 million phone numbers.",https://www.mycentraljersey.com/story/news/local/how-we-live/2018/12/03/iconectiv-telecom-kathy-timko-phone-numbers/2163321002/,Read Full Article,
Porting the World's Largest Phone Number Database,10/22/2018,"Between email, WhatsApp, Facebook Messenger, Skype and text messaging, no one really needs a phone number anymore, right?

Wrong.

Phone numbers are as important as ever—even among people who spend most of their time online. 83 percent of U.S. adult internet users had a phone conversation with a customer service rep in the past year, Forrester Research says. And a Google survey found that 47 percent of mobile search users won’t do business with a company if they can’t find its phone number.

Those are just few reasons why the North American Number Portability Administration Center (NPAC) plays such a key role in both the US economy and everyday life.",https://technews.tmcnet.com/unified-communications/topics/unified-communications/articles/439902-porting-worlds-largest-phone-number-database.htm,Read Full Article,
Porting the World's Largest Phone Number Database,10/22/2018,"Between email, WhatsApp, Facebook Messenger, Skype and text messaging, no one really needs a phone number anymore, right?

Wrong.

Phone numbers are as important as ever—even among people who spend most of their time online. 83 percent of U.S. adult internet users had a phone conversation with a customer service rep in the past year, Forrester Research says. And a Google survey found that 47 percent of mobile search users won’t do business with a company if they can’t find its phone number.

Those are just few reasons why the North American Number Portability Administration Center (NPAC) plays such a key role in both the US economy and everyday life.",https://technews.tmcnet.com/unified-communications/topics/unified-communications/articles/439902-porting-worlds-largest-phone-number-database.htm,Read Full Article,
One of telecom’s biggest IT projects ‘went great’—at least so far,04/08/2018,"Described as one of the biggest IT projects ever undertaken by the U.S. telecom industry, the nation’s commercial number portability services yesterday began moving from previous vendor Neustar to new vendor iconectiv. And “it went great,” said Kathy Timko, head of local number portability administration at iconectiv, in an interview this morning.

“It’s a highly orchestrated endeavor,” Timko explained.",https://www.fiercewireless.com/wireless/one-telecom-s-biggest-it-projects-went-great-at-least-so-far,Read Full Article,
Law Enforcement and Public Safety Agencies Must Register immediately to maintain access to number portability data,01/03/2018,"Bridgewater, N.J. – January 3, 2018 – iconectiv, the next Local Number Portability Administrator (LNPA) for all U.S. regions, reminds law enforcement agencies and Public Safety Answering Points (PSAPs) that would like to continue having access to number portability data to register with iconectiv immediately. Registration is required and free for the new system, which goes into production and replaces the existing system on March 4, 2018.",,,"<p><b>Bridgewater, N.J. – January 3, 2018 –</b>
iconectiv, the next Local Number Portability Administrator (LNPA) for all U.S.
regions, reminds law enforcement agencies and Public Safety Answering Points
(PSAPs) that would like to continue having access to number portability data to
register with iconectiv immediately. Registration is required and free for the new system, which
goes into production and replaces the existing system on March 4,
2018.<br></p>

<p>Number portability
allows people to keep their phone number when switching service providers. Authorized
law enforcement agencies and PSAP users that need to know which company is the service provider of record can check
that information against the data in the Number Portability Administration
Center (NPAC), which supports the implementation of the number portability
service in the country. There are two services available to law
enforcement and public safety agencies: the Interactive Voice Response (IVR) service, which is a
free phone-based system, and the Enhanced Law Enforcement Platform (ELEP) is a
fee-based, online search service.&nbsp;</p>

<p>Users of the IVR
service can contact <a href=""mailto:ivr@iconectiv.numberportability.com"">ivr@iconectiv.numberportability.com</a> and
users of the ELEP web-based service can contact <a href=""mailto:elep@iconectiv.numberportability.com"">elep@iconectiv.numberportability.com</a> to
request a registration form. For general questions, call 844-511-3537 Monday through
Friday between 8:00 AM and 8:00 PM ET.</p><p>Further details on registration and the transition can be found at&nbsp;<a href=""http://www.numberportability.com/"">www.numberportability.com</a>.&nbsp;<br></p>"
"A conversation with Kathy Timko, Senior Vice President and Head of LNPA Services at iconectiv",05/18/2017,Where does onboarding stand? More than half of current NPAC users have started registration and are preparing for the transition. We encourage unregistered users to begin the registration process as soon as possible. The success of the transition is dependent on full industry participation.,,,"<p><b>Where does onboarding stand?</b></p>

<p>More than half of current NPAC users have started registration and are
preparing for the transition. We encourage unregistered users to begin the
registration process as soon as possible. The success of the transition is
dependent on full industry participation.</p>

<p><b>When will the transition be finished?</b><br></p>

<p>We are on track to complete the transition in the second quarter of
2018, with a final acceptance date in May 2018. iconectiv shares responsibility
for the launch of the NPAC with the incumbent LNPA and the industry at large.<a></a><a></a><a> </a>Full
cooperation from all parties is critical to ensuring a timely transition.<br></p>

<p><b>How is iconectiv preparing to be the next
LNPA?</b><br></p>

<p>iconectiv is a global leader in number portability and has been
preparing to be the next LNPA for years. We are working closely with the North
American Portability Management (NAPM) and Transition Oversight Manager (TOM)
to develop a secure and cost-effective NPAC solution. Onboarding is underway
and industry testing began on May 15. We also offer a series of user education
resources. Please visit our <a href=""https://www.numberportability.com/resources/videos/"">Resources</a> page for a transition overview.<br></p>

<p><b>Who is required to register?</b><br></p>

<p>All NPAC users are required to register for the iconectiv NPAC.
Registration is open for Service Providers (SP), Service Bureaus (SB), and
Providers of Telecom-Related Services (PTRS), users who engage in the business
of telemarketing, and users of the Enhanced Law Enforcement Platform (ELEP).
Please visit <a href=""http://www.numberportability.com/"">www.numberportability.com</a> to begin the registration process, if you
have not already done so.&nbsp;<br></p>

<p><b>What are the most crucial components of the
transition?&nbsp;</b><br></p>

<p>&nbsp;The most crucial transition
activities include user registration, industry testing and data migration of
the current data into the new NPAC.</p>"
Accessing the NPAC,11/02/2017,What NENA members need to know about IVR and ELEP,,,"<p><b>Accessing the NPAC</b><br><i>What NENA members need to know about IVR
and ELEP</i><br><b><br>How is the NPAC valuable to my agency?</b><i><br></i></p>

<p>The
Number Portability Administration Center (NPAC) gives user access to the most
current and accurate database of US ported phone numbers.<br><br>Law enforcement
agencies (LEA) and Public Safety Answering Points (PSAP)&nbsp;access
NPAC data through the Interactive Voice Response (IVR) service, a free phone-based
system, or the Enhanced Law Enforcement Platform (ELEP), a fee-based, online search
alternative.<br><br>These
services allow users to access the service provider contact information associated
with a specific phone number.<br><br><b>Why does my agency need to register?</b></p>

<p><a href=""http://www.iconectiv.com/"">iconectiv</a>, a leader in
telecom technology, is the next NPAC administrator. In order to avoid any
service disruption following the transition to the iconectiv NPAC, all law
enforcement and public safety users must register by December 31, 2017 with
iconectiv. The cutover from the existing provider to iconectiv will take place in
March 2018.<br><br><b>How does my agency register?</b></p>

<p>Registration
is free and begins by IVR and ELEP users
contacting <a href=""mailto:ivr@iconectiv.numberportability.com"">ivr@iconectiv.numberportability.com</a> or <a href=""mailto:ELEP@iconectiv.numberportability.com"">ELEP@iconectiv.numberportability.com</a> to
request a registration form.</p>"
Status Update: Local Number Portability Administrator Contract,03/04/2018,"Background: The FCC’s “local number portability” system allows consumers and businesses to keep their phone number when switching providers, which supports consumer choice and competition in the communications market. The transfer or “porting” of numbers between carriers is done by a neutral third party called the Local Number Portability Administrator (LNPA). Number portability costs are paid for by the industry. The current LNPA’s contract automatically renews for one-year terms and the next available termination date is June 30, 2015. The FCC is overseeing the process to select the next LNPA. Maintaining the integrity and availability of the porting system is paramount.",,,"<p><b>Background:</b>&nbsp;The FCC’s “local number portability” system allows consumers and businesses to keep their phone number when switching providers, which supports consumer choice and competition in the communications market. The transfer or “porting” of numbers between carriers is done by a neutral third party called the Local Number Portability Administrator (LNPA). Number portability costs are paid for by the industry. The current LNPA’s contract automatically renews for one-year terms and the next available termination date is June 30, 2015. The FCC is overseeing the process to select the next LNPA. Maintaining the integrity and availability of the porting system is paramount.&nbsp;</p><p><b>The Action:</b>&nbsp;Today, the Wireline Competition Bureau is circulating a draft order to the full Commission, which, if adopted, would initiate contract negotiations with Telcordia (d/b/a iconectiv) to serve as the next LNPA. Telcordia has extensive experience in numbering administration in the U.S. and abroad. The North American Numbering Council (NANC) – a Federal Advisory Committee created to advise the Commission on numbering issues – and the Commission staff evaluated the bids for technical and managerial competence, security considerations, and cost-effectiveness. The draft includes provisions to ensure a smooth transition and to protect the integrity and availability of the system during and after the transition.&nbsp;</p><p><b>Role of the LNPA:</b>&nbsp;The LNPA develops, maintains and operates the processes and database used to “port” or transfer numbers. The LNPA also provides services to law enforcement and public safety organizations.&nbsp;</p><p><b>Reason for the Action:</b>&nbsp;Neustar (or its predecessor-in-interest) has been the LNPA since 1997. Neustar provides service under a contract with an industry group, North American Portability Management LLC (NAPM:&nbsp;<a href=""http://bit.ly/17RekCN"">http://bit.ly/17RekCN</a>), which recommended using a competitive process (<a href=""http://bit.ly/1Nh05I4"">http://bit.ly/1Nh05I4</a>) to select the next LNPA.&nbsp;</p><p><b>The Process:</b>&nbsp;The process to select the next LNPA has been progressing since 2011.&nbsp;</p><p></p><ul><li>In March and May 2011, after providing notice and receiving comment, the Wireline Competition Bureau issued two orders (DA 11-454 (<a href=""http://bit.ly/1Kkcpsf"">http://bit.ly/1Kkcpsf</a>) and DA 11-883 (<a href=""http://bit.ly/1B2j4RK"">http://bit.ly/1B2j4RK</a>) setting out the selection process. &nbsp;</li><li>In February 2013, after providing notice and receiving comment (<a href=""http://bit.ly/18PTzIY"">http://bit.ly/18PTzIY</a>), the NAPM issued a Request for Proposals and other bid documents (<a href=""http://bit.ly/1B7eUGS"">http://bit.ly/1B7eUGS</a>).</li><li>Between April 2013 and April 2014, the NAPM and the Commission’s Federal Advisory Committee, called the North American Numbering Council or NANC, conducted an extensive review of the bids, and each bidder was allowed to submit a “best and final offer” (<a href=""http://bit.ly/1wIhbK4"">http://bit.ly/1wIhbK4</a>).</li><li>In April 2014 the NANC submitted to the Commission its unanimous recommendation (<a href=""http://bit.ly/1Nh0H0u"">http://bit.ly/1Nh0H0u</a>) to select Telcordia as the next LNPA.</li><li>In June 2014, the Commission sought public comment (<a href=""http://bit.ly/1ENJh81"">http://bit.ly/1ENJh81</a>) on the NANC’s recommendation (<a href=""http://bit.ly/1Nh0H0u"">http://bit.ly/1Nh0H0u</a>), allowing more than two months (<a href=""http://bit.ly/1zKhGxV"">http://bit.ly/1zKhGxV</a>) for responses to give all parties time to evaluate the recommendation.&nbsp;</li><li>FCC staff independently reviewed and corroborated the NANC recommendation and analysis. Staff worked closely with law enforcement and national security experts outside of the FCC to ensure that security and reliability issues are addressed.&nbsp;</li><li>The draft order takes into account the NANC recommendation, input from many interested parties, and Telcordia’s experience administering sensitive numbering systems in the U.S. and abroad. The Commission will coordinate with other federal agencies and ensure that any final contract includes provisions to protect national security.&nbsp;</li></ul><b>Next Steps:</b>&nbsp;If the Commission adopts the draft order, the NAPM would begin to negotiate contract terms with Telcordia. These terms would be subject to approval by the FCC’s Wireline Competition Bureau. If a final contract is negotiated, then the Commission would oversee the transition to ensure that matters affecting the public interest, such as public safety and security, are fully addressed in the contract terms, and to ensure that any transition occurs efficiently and seamlessly.&nbsp;"
"iconectiv Announces Successful Transition of Nation’s Phone Number Identification Service for Law Enforcement, Public Safety Agencies",03/05/2018,"iconectiv, the next Local Number Portability Administrator  for the United States, announced the successful transition of the nation’s telephone number identification and porting information services for law enforcement and public safety agencies. Both the Enhanced Law Enforcement Platform (ELEP) and Interactive Voice Response (IVR) service successfully transitioned on March 4, 2018.",,,"

<p><i>Telephone
number ID services help law enforcement and public safety agencies determine
service provider of ported telephone numbers</i></p>

<p><b>Bridgewater, N.J. – March 5, 2018 –</b> iconectiv, the next Local Number
Portability Administrator &nbsp;for the United States, announced the successful transition of the nation’s telephone
number identification and porting information services for law enforcement and
public safety agencies. Both the Enhanced Law Enforcement Platform (ELEP) and
Interactive Voice Response (IVR) service successfully transitioned on March 4,
2018.</p><p>The ELEP and IVR service are among the first services to transition, marking
a major milestone as iconectiv becomes the nation’s next administrator of the Number
Portability Administration Center (NPAC). The NPAC is the largest database of
ported telephone numbers in the world.<br></p><p>The free IVR service provides
authorized law enforcement and public safety agencies with information on the service
provider of record for specific ported telephone numbers, as well as reach
information for the law enforcement points of contact at each service provider.
IVR users can retrieve information for up to 20 ported telephone numbers at a time via
this phone-based service. The ELEP offers porting history and the ability to
query up to 100 telephone numbers per request via a secure software-based
platform, in addition to the information provided by the IVR service.<br></p><p>Law
enforcement and Public Safety Answering Point (PSAP) users who wish to use
either service should visit <a href=""https://lawenforcement.numberportability.com/"">lawenforcement.numberportability.com</a> to initiate
the registration process. If assistance is needed with the registration
process, agencies can call 844-511-3537.
The phone line is open 24 hours a day, 7 days a week.<br></p><p>Questions regarding
the IVR
service can be directed to <a href=""mailto:ivr@iconectiv.numberportability.com"">ivr@iconectiv.numberportability.com</a>. Questions
regarding the ELEP service can be directed to <a href=""mailto:elep@iconectiv.numberportability.com"">elep@iconectiv.numberportability.com</a>.
Agencies can also call 844-511-3537 with general questions.<br></p><p><br></p><p><br></p>"
"iconectiv, NAPM Finalize Number Portability Master Services Agreements",08/09/2016,"PISCATAWAY, N.J. – August 9, 2016 – iconectiv and the North American Portability Management LLC, (NAPM) have signed the Master Services Agreements (MSA) for each of the seven U.S. Number Portability Administration Center (NPAC) regions, officially establishing iconectiv as the next Local Number Portability Administrator (LNPA) in all U.S. regions. This follows the Federal Communications Commission (FCC) announcement last month.",,,"<p>iconectiv, NAPM Finalize Number Portability Master Services Agreements PISCATAWAY, N.J. – August 9, 2016 – iconectiv and the North American Portability Management LLC, (NAPM) have signed the Master Services Agreements (MSA) for each of the seven U.S. Number Portability Administration Center (NPAC) regions, officially establishing iconectiv as the next Local Number Portability Administrator (LNPA) in all U.S. regions. This follows the Federal Communications Commission (FCC)&nbsp;<a href=""http://transition.fcc.gov/Daily_Releases/Daily_Business/2016/db0725/DOC-340462A1.pdf"">announcement</a>&nbsp;last month.&nbsp;</p><p>“This is a critical step forward for the industry,” said Richard Jacowleff, President and CEO, iconectiv. “We are well prepared to implement a smooth transition to the new modern, costefficient and secure NPAC system that will provide number portability at a fraction of the current cost.”&nbsp;<br></p><p>With the MSAs signed, the transition planning process can continue to move forward for all NPAC users.&nbsp;<br></p><p>Following implementation, iconectiv will manage the Number Portability Administration Center/Service Management System (NPAC/SMS). The NPAC/SMS is the central platform that supports the secure and efficient porting of telephone numbers to allow customers to keep their telephone numbers when switching communications service providers. Thousands of wireline, wireless, VoIP and cable service providers, and hundreds of law enforcement agencies and public safety organizations in the U.S. depend on this central, common and authoritative database for numbering services. In addition, hundreds of businesses that engage in telemarketing rely on the number porting data to remain in compliance with federal regulations.&nbsp;<br></p><p><b>About iconectiv&nbsp;</b><br></p><p>At iconectiv, we envision a world without boundaries, where the ability to access and exchange information is simple, secure and seamless. As the authoritative partner of the communications industry for more than 30 years, our market-leading solutions enable the interconnection of networks, devices, and applications for more than one billion people every day. Working closely with private, government and non-governmental organizations, iconectiv has intimate knowledge of the intricacies and complexities of creating, operating, and securing the telecommunications infrastructure for service providers, regulators, enterprises and content providers. iconectiv provides network operations and management, numbering, registry, messaging, and fraud and revenue assurance solutions to more than 1,000 customers globally.&nbsp;<br></p><p>A US-based company, Telcordia Technologies, Inc., doing business as iconectiv, is a wholly owned subsidiary of Ericsson. For more information, visit&nbsp;<a href=""http://www.iconectiv.com/"">www.iconectiv.com</a>.&nbsp;<br></p><p><b>Media Contact:&nbsp;</b><br></p><p>Sharon Oddy, iconectiv&nbsp;<br>Phone: +1 732-699-5130/908-809-2268&nbsp;<br>Email: soddy@iconectiv.com</p><p></p>"
FCC Approves iconectiv’s Local Number Portability Administrator Contract,07/25/2016,"PISCATAWAY, N.J. – July 25, 2016 – iconectiv, announced today that the Federal Communications Commission (FCC) has provided final approval of the contract for iconectiv to serve as the new Local Number Portability Administrator (LNPA) for all seven of the U.S. Number Portability Administration Center (NPAC) regions.",,,"<h4>iconectiv and NAPM Cleared to Move Forward with NPAC Transition</h4><p><b>PISCATAWAY, N.J. – July 25, 2016</b>&nbsp;– iconectiv, announced today that the Federal Communications Commission (FCC) has provided final approval of the contract for iconectiv to serve as the new Local Number Portability Administrator (LNPA) for all seven of the U.S. Number Portability Administration Center (NPAC) regions.&nbsp;</p><p>“We are pleased to have received regulatory approval for the LNPA contract. While we have been planning for the transition for some time, we are glad to officially move the transition process forward,” said Richard Jacowleff, President and CEO of iconectiv. “We appreciate the tremendous work of the North American Portability Management, the Transition Oversight Manager, the North American Numbering Council, and many leading voices from across the telecommunications industry who have actively participated in this process. In particular, I would like to thank the Chairman and Commissioners of the FCC and their dedicated and hardworking staff for all the work they have done to bring the selection and contracting process to a close.”&nbsp;<br></p><p>“This new NPAC system will include best-in-class technology and security while providing number portability at a fraction of the current cost,” Jacowleff added.&nbsp;<br></p><p>The new modern, cost-efficient and secure NPAC will have the same functionality as the current system and will be completely compatible with existing gateway systems. iconectiv already has a dedicated team in place to implement a smooth transition. In the coming weeks more information will be shared about the transition process with all NPAC users, including all service providers, law enforcement, and public safety organizations.&nbsp;<br></p><p>The North American Numbering Council (NANC) and the North American Portability Management (NAPM) recommended to the FCC that iconectiv be selected as the new LNPA after a long and thorough process conducted by the NANC, and the NAPM, and overseen by the FCC. This process included extensive commentary and engagement with the public, the telecommunications industry, and state, local, and federal law enforcement agencies. The FCC adopted an order in March 2015 instructing the NAPM to initiate contract negotiations with iconectiv to serve as the new LNPA, subject to the FCC’s final review of the contract. With the FCC’s final approval, the parties can now move forward to final execution of the contract.&nbsp;<br></p><p>A leader in number portability solutions, iconectiv has successfully deployed numbering solutions in 21 countries around the globe and has been a long standing part of the U.S. telecommunications landscape, including the number portability ecosystem since its inception. &nbsp;<br></p><p>Following the transition to the new NPAC, iconectiv will manage the Number Portability Administration Center/Service Management System (NPAC/SMS). The NPAC/SMS is the central platform that supports the secure and efficient porting of telephone numbers to allow customers to keep their telephone numbers when switching communications service providers. Thousands of wireline, wireless, VoIP and cable service providers, and hundreds of law enforcement agencies and 911 public safety answering authorities in the U.S. depend on this central, common and authoritative database for numbering services. In addition, hundreds of businesses that engage in telemarketing rely on the number porting data to remain in compliance with federal regulations.&nbsp;<br></p><p><b>About iconectiv&nbsp;</b><br></p><p>At iconectiv, we envision a world without boundaries, where the ability to access and exchange information is simple, secure and seamless. As the authoritative partner of the communications industry for more than 30 years, our market-leading solutions enable the interconnection of networks, devices, and applications for more than one billion people every day. Working closely with private, government and nongovernmental organizations, iconectiv has intimate knowledge of the intricacies and complexities of creating, operating, and securing the telecommunications infrastructure for service providers, regulators, enterprises and content providers. iconectiv provides network and operations management, numbering, registry, fraud and revenue assurance and messaging solutions to more than 1,000 customers globally.&nbsp;<br></p><p>A US-based company, Telcordia Technologies, Inc., doing business as iconectiv, is a wholly owned subsidiary of Ericsson. For more information, visit&nbsp;<a href=""http://www.iconectiv.com/"">www.iconectiv.com</a>.&nbsp;<br></p><p><b>Media Contact:&nbsp;<br></b>Sharon Oddy&nbsp;<br>iconectiv&nbsp;<br>Phone: +1 732-699-5130 +1 908-809-2268&nbsp;<br>Email:&nbsp;<a href=""mailto:soddy@iconectiv.com"">soddy@iconectiv.com</a></p>"
